SubmittedBy,SubmittedAt,MatchID,MatchDateTime,Timer,Map,Mode,Team 1 Score,Team2 Score,Team,Splashtag,Weapon,KA,Deaths,Assists,Special,#Specials,Paint
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzQxMTFfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:41:11Z,4:38,Eeltail Alley,Tower Control,100,0,1,grodd#1573,N-ZAP '85,13,6,6,Tacticooler,6,1344
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzQxMTFfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:41:11Z,4:38,Eeltail Alley,Tower Control,100,0,1,Allyn#1670,E-liter 4K Scope,9,1,2,Wave Breaker,6,1317
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzQxMTFfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:41:11Z,4:38,Eeltail Alley,Tower Control,100,0,1,△↑ Asterum#2660,Krak-On Splat Roller,8,4,1,Kraken Royale,4,589
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzQxMTFfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:41:11Z,4:38,Eeltail Alley,Tower Control,100,0,1,WET OmaZen#1081,Hero Shot Replica,7,4,2,Trizooka,7,1417
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzQxMTFfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:41:11Z,4:38,Eeltail Alley,Tower Control,100,0,2,仝jello :)#1745,Custom Blaster,8,7,3,Triple Splashdown,2,514
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzQxMTFfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:41:11Z,4:38,Eeltail Alley,Tower Control,100,0,2,仝Bronze#1705,Octo Shot Replica,6,5,1,Triple Inkstrike,6,1545
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzQxMTFfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:41:11Z,4:38,Eeltail Alley,Tower Control,100,0,2,仝Alex T#2314,Dualie Squelchers,2,9,1,Wave Breaker,2,879
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzQxMTFfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:41:11Z,4:38,Eeltail Alley,Tower Control,100,0,2,仝Sibirrino#8798,Zink Mini Splatling,5,5,1,Big Bubbler,5,1453
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzMzMzBfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:33:30Z,5:14,Humpback Pump Track,Rainmaker,69,81,1,Allyn#1670,Snipewriter 5H,19,4,12,Tacticooler,8,2257
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzMzMzBfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:33:30Z,5:14,Humpback Pump Track,Rainmaker,69,81,1,△↑ Asterum#2660,Tri-Slosher,16,9,6,Inkjet,2,820
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzMzMzBfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:33:30Z,5:14,Humpback Pump Track,Rainmaker,69,81,1,grodd#1573,Splattershot,10,7,2,Trizooka,5,1509
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzMzMzBfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:33:30Z,5:14,Humpback Pump Track,Rainmaker,69,81,1,WET OmaZen#1081,Splat Dualies,9,10,5,Crab Tank,3,1178
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzMzMzBfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:33:30Z,5:14,Humpback Pump Track,Rainmaker,69,81,2,仝jello :)#1745,Custom Blaster,16,5,9,Triple Splashdown,2,699
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzMzMzBfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:33:30Z,5:14,Humpback Pump Track,Rainmaker,69,81,2,仝Bronze#1705,Octo Shot Replica,14,4,3,Triple Inkstrike,7,1927
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzMzMzBfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:33:30Z,5:14,Humpback Pump Track,Rainmaker,69,81,2,仝Sibirrino#8798,Glooga Dualies Deco,12,7,3,Trizooka,6,1449
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzMzMzBfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:33:30Z,5:14,Humpback Pump Track,Rainmaker,69,81,2,仝Alex T#2314,Order Slosher Replica,4,13,1,Triple Inkstrike,3,1186
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzI1NDRfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:25:44Z,5:12,Manta Maria,Clam Blitz,81,59,1,Allyn#1670,Snipewriter 5H,7,7,7,Tacticooler,7,1548
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzI1NDRfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:25:44Z,5:12,Manta Maria,Clam Blitz,81,59,1,△↑ Asterum#2660,Goo Tuber,16,6,3,Tenta Missiles,3,1022
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzI1NDRfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:25:44Z,5:12,Manta Maria,Clam Blitz,81,59,1,grodd#1573,Splattershot,14,6,1,Trizooka,5,1286
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzI1NDRfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:25:44Z,5:12,Manta Maria,Clam Blitz,81,59,1,WET OmaZen#1081,Enperry Splat Dualies,11,11,4,Triple Splashdown,2,971
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzI1NDRfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:25:44Z,5:12,Manta Maria,Clam Blitz,81,59,2,仝Sibirrino#8798,Order Shot Replica,18,8,2,Trizooka,4,1388
Asterum,2024-04-28T22:44:14.088Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDMyOVQwMzI1NDRfODhlNDFlNzgtNWVkYy00YWEyLTk5MDUtZTEwODYyMWI2YzRm,2024-03-29T03:25:44Z,5:12,Manta Maria,Clam Blitz,81,59,2,仝Bronze#1705,N-ZAP '85,9,9,2,Tacticooler,4,1190
